Customer ID,Customer_Name,Segment,Region,First_Order,Total_Orders,Total_Revenue,Total_Profit,Acquisition_Channel,CAC,Acquisition_Campaign,LTV_CAC_Ratio,Cluster,RFM_Label,RFM_Score
AA-10315,Alex Avila,Consumer,Central,2014-03-31,5,5563.56,-362.8825,Social Media,11.99,Instagram_Retargeting,-30.27,2,Needs Attention,5
AA-10375,Allen Armold,Consumer,West,2014-04-21,9,1056.39,277.3824,Paid Search,31.83,Brand_Awareness_PPC,8.71,4,Champions,13
AA-10480,Andrew Allen,Consumer,South,2014-05-04,4,1790.5120000000002,435.8274,Paid Search,31.35,Product_Category_PPC,13.9,1,Needs Attention,6
AA-10645,Anna Andreadi,Consumer,East,2014-06-22,6,5086.9349999999995,857.8033,Organic,15.05,Blog_Traffic,57.0,0,Loyal Customers,11
AB-10015,Aaron Bergman,Consumer,West,2014-02-18,3,886.156,129.3465,Paid Search,21.03,Brand_Awareness_PPC,6.15,1,Needs Attention,4
AB-10060,Adam Bellavance,Home Office,East,2015-09-18,8,7755.62,2054.5885,Paid Search,21.7,Brand_Awareness_PPC,94.68,0,Loyal Customers,12
AB-10105,Adrian Barton,Consumer,West,2014-12-20,10,14473.570999999998,5444.8055,Social Media,1.0,LinkedIn_B2B,5444.81,0,Champions,14
AB-10150,Aimee Bixby,Consumer,East,2014-03-05,5,966.71,313.6597,Social Media,30.55,Instagram_Retargeting,10.27,3,Potential Loyalists,9
AB-10165,Alan Barnes,Consumer,West,2014-11-16,8,1113.838,220.813,Email,4.72,Promotional_Blast,46.78,4,Loyal Customers,12
AB-10255,Alejandro Ballentine,Home Office,East,2014-07-22,9,914.5319999999999,264.5675,Social Media,15.32,LinkedIn_B2B,17.27,4,Loyal Customers,10
AB-10600,Ann Blume,Corporate,West,2014-11-18,4,1515.862,-274.9604,Email,4.11,Re_Engagement,-66.9,3,Needs Attention,6
AC-10420,Alyssa Crouse,Corporate,West,2014-07-12,3,925.8,-62.1342,Email,7.79,Welcome_Series,-7.98,1,At Risk,3
AC-10450,Amy Cox,Consumer,Central,2014-10-31,7,5527.846,1366.0098,Social Media,23.1,Facebook_Prospecting,59.13,0,Champions,13
AC-10615,Ann Chong,Corporate,East,2015-09-15,5,2537.6859999999997,298.8273,Paid Search,21.81,Product_Category_PPC,13.7,3,Loyal Customers,10
AC-10660,Anna Chung,Consumer,Central,2014-10-15,5,657.316,-28.700399999999995,Paid Search,20.8,Competitor_Keywords,-1.38,1,Needs Attention,4
AD-10180,Alan Dominguez,Home Office,Central,2014-11-19,8,6106.88,1869.9294,Paid Search,39.37,Brand_Awareness_PPC,47.5,0,Champions,13
AF-10870,Art Ferguson,Consumer,Central,2015-12-06,7,2052.908,317.9712,Email,2.94,Welcome_Series,108.15,4,Loyal Customers,10
AF-10885,Art Foster,Consumer,South,2014-05-10,4,861.565,-163.1175,Social Media,20.54,Instagram_Retargeting,-7.94,1,At Risk,3
AG-10270,Alejandro Grove,Consumer,West,2014-05-13,5,2582.898,732.7399,Paid Search,25.25,Brand_Awareness_PPC,29.02,1,Potential Loyalists,8
AG-10300,Aleksandra Gannaway,Corporate,West,2014-04-26,4,367.548,59.288399999999996,Email,7.17,Promotional_Blast,8.27,3,Needs Attention,5
AG-10330,Alex Grayson,Consumer,West,2016-08-03,5,660.972,-5.137100000000006,Social Media,47.0,Instagram_Retargeting,-0.11,3,Potential Loyalists,8
AG-10390,Allen Goldenen,Consumer,East,2014-04-19,5,200.945,69.2784,Paid Search,42.32,Competitor_Keywords,1.64,3,Needs Attention,6
AG-10495,Andrew Gjertsen,Corporate,East,2015-01-04,8,2356.855,295.6668,Direct,3.44,Word_of_Mouth,85.95,4,Loyal Customers,10
AG-10525,Andy Gerbode,Corporate,South,2014-08-09,4,1455.038,-152.7613,Direct,4.76,Word_of_Mouth,-32.09,1,At Risk,3
AG-10675,Anna Gayman,Consumer,Central,2015-05-07,7,3489.0396000000005,-246.42570000000003,Paid Search,15.89,Product_Category_PPC,-15.51,2,Potential Loyalists,7
